question,options,correct_label
"In mammals, air is warmed and humidified in what?",a) nasal cavity b) stomach c) lungs d) esophagus,a
What is the specialized tissue that transports water and nutrients throughout the plant and allows these plants to grow taller?,a) fiber tissue b) blood vessels c) dioxide tissue d) vascular tissue,d
What is the term for the method of sending out ultrasound waves to determine the locations of objects?,a) catabolism b) morphology c) echolocation d) magnetism,c
"In autosomal dominant inheritance only one ""affected"" what is necessary to result in an ""affected"" phenotype?",a) cells b) molecule c) allele d) trait,c
"When the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell during this process?",a) cytokinesis b) mitosis c) meiosis d) spawning,b
What is the layer above the troposphere?,a) thermosphere b) mesosphere c) stratosphere d) troposphere,c
Which system consists of organs that break down food and absorb nutrients such as glucose?,a) digestive system b) excretory system c) circulatory system d) urinary system,a
What part of the eye controls the size of the pupil?,a) lens b) avis c) iris d) debis,c
"Depending on a tumor’s location, for example, cancer surgeons may be unable to remove it. radiation and chemotherapy are difficult, and it is often impossible to target only the cancer cells. the treatments inevitably destroy this?",a) healthy cells b) carcinogens c) host cells d) fertility,a
Sodium is an example of what sort of thing that cannot exist by itself in nature?,a) compound b) element c) concept d) aspect,b
What type of resource is water power?,a) renewable b) geothermal c) nonrenewable d) biological,a
Which part of the plant is responsible for seed production?,a) root b) pistil c) flower d) leaf,c
The two main agents of soil erosion are water and what else?,a) humidity b) steam c) wind d) glaciers,c
What do aggregate fruits like raspberries form from?,a) follicles fused together b) carpels fused together c) germinoles fused together d) chloroplast fused together,b
What kind of ions are named by adding the suffix -ide to the end?,a) particular ions b) positive ions c) similar ions d) negative ions,d
"These resources can be remade quickly, through natural processes",a) fossil fuel b) renewable c) non-renewable d) electric,b
Inorganic chemical compounds can be broadly classified into two groups: ionic compounds and which other group?,a) molecular compounds b) cellular compounds c) atomic compounds d) electromagnetic compounds,a
Fish are a diverse and interesting group of organisms in what sub-phylum?,a) mammals b) invertebrates c) organelles d) vertebrates,d
Spinal cord injuries are notoriously difficult to treat because spinal nerves do not do what?,a) cover b) cartilage c) moisture d) regenerate,d
The ratio of displacement to time interval is the average what?,a) direction b) speed c) velocity d) acceleration,c
What is the modern periodic table based on?,a) atomic number b) element density c) metallic number d) element mass,a
The needle of a compass is made of what element?,a) tin b) aluminum c) iron d) nickel,c
What is the process in which the genetic code in mrna is read to make a protein called?,a) translation b) splicing c) modification d) expression,a
What type of protein speeds up chemical reactions in cells?,a) lipids b) collagen c) hemoglobin d) enzyme,d
In what part of the lungs is pulmonary gas exchanged?,a) bronchioles b) trachea c) alveoli d) bronchi,c
"What phenomenon occurs when strong winds blow surface water away from shore, allowing deeper water to flow to the surface and take its place?",a) hurricane b) percolating c) upwelling d) tsunami,c
When does the nucleus divide?,a) meiosis b) photosynthesis c) epistasis d) mitosis,d
"Olfactory, optic, and vestibulocochlear nerves are related to what type of function?",a) sensory b) respiratory c) digestion d) pulmonary,a
What happens when alkanes are mixed with oxygen at room temperature?,a) redox b) no reaction c) single replacement d) combustion,b
"At the bottom of lakes and ponds, bacteria in what zone break down dead organisms that sink there?",a) trophic b) photic c) aphotic zone d) photoreactive zone,c
What is the name for a heterotroph that eats only or mainly animal foods?,a) carnivore b) omnivore c) herbivore d) macrophage,a
What is the name of an extreme form of radiation fog?,a) aura fog b) tule fog c) smelt fog d) cedar fog,b
In what form is most of the earth's freshwater?,a) steam b) liqued c) gas d) frozen,d
What cells do lymphocytes originate from in the bone marrow?,a) stem cells b) calcium cells c) kahp cells d) brain cells,a
"What is the common name for a simple harmonic oscillator, which basically consists of a small object suspended on a wire or string?",a) pendant b) metronome c) pendulum d) yo-yo,c
What kind of process occurs without the need for a continual input of energy from some external source?,a) Different Process b) Decay Process c) spontaneous process d) induced process,c
What are fungus-like protists?,a) molds b) viruses c) bacteria d) feces,a
Electrons exist only where the wave is what?,a) stable b) seen c) solid d) spinning,a
What are the simplest hydrocarbons?,a) complex carbohydrates b) fossil fuels c) saturated hydrocarbons d) unsaturated hydrocarbons,c
The shield type of what phenomenon commonly forms above hotspots in the oceans?,a) tsunami b) volcano c) tornado d) hurricane,b
"Bromide is present in brines, which are naturally occurring solutions of what?",a) salt b) magnesium c) iron d) calcium,a
What shape are the eight sides of an octahedra?,a) rectangles b) triangles c) hexagon d) square,b
"Unlike an adult sponge, what stage is motile due to cilia that propel it through water?",a) pupa b) larva c) parasite d) zygote,b
"What weather phenomenon, which may bring clouds and precipitation, is created by stalled air masses?",a) susceptible front b) stationary front c) cool front d) Horizontal Front,b
What keeps glaciers from forming in water?,a) skin b) warmth c) salt d) movement,b
"The human skeleton is an endoskeleton that consists of 206 bones in the adult. it has five main functions: providing support to the body, storing minerals and lipids, producing blood cells, protecting internal organs, and  this?",a) more movement b) allowing movement c) enough movement d) Forward movement,b
What's the name for the process where pollen is transferred to the ovules of a seed plant?,a) combination b) condensation c) pollination d) hibernation,c
At what time of the year can tornadoes occur?,a) winter b) spring c) summer d) any,d
How is sediment transported?,a) currents b) storms c) winds d) landslides,a
Where are all hormones secreted into before entering the circulatory system?,a) Cerebrospinal fluid b) Amniotic fluid c) interstitial fluid d) blood stream,c
Vertebrates have tissues which are organized into organs which in turn are organized into  what?,a) maturation systems b) organ systems c) artificial systems d) information systems,b
What can renewable resources can be replaced by?,a) natural processes b) human processes c) fossil fuels d) change processes,a
"When warm air rises up to the tropopause, where does it flow?",a) east or north b) north or south c) east or west d) west or south,b
What kind of messages do neurons send?,a) Neurotic messages b) minor messages c) electrical messages d) digestive messages,c
What forces in liquids are strong enough to keep them from expanding significantly when heated?,a) outermolecular forces b) intermolecular forces c) particles forces d) gravitational forces,b
Which chromosome is associated with cri du chat syndrome?,a) collagen 5 b) spore 5 c) chromosome 5 d) genome 5,c
The strong affinity of concentrated sulfuric acid for water makes it a good agent of what?,a) hydrating b) diluting c) concentrating d) dehydrating,d
Where in the female body does egg production take place?,a) testes b) ovaries c) endometrium d) uterus,b
What is the amorphous form of carbon prepared by the incomplete combustion of natural gas?,a) dioxide black b) carbon black c) liquid black d) dark black,b
What do gametes undergo to produce many additional copies of themselves?,a) angiogenesis b) cytokinesis c) prophase d) mitosis,d
The greenhouse effect on earth is caused by an increase in what in the atmosphere?,a) phosphorous b) vapor c) satellites d) carbon,d
What is the term for the quantity of heat required to raise the temperature of 1 gram of a substance by 1 degree celsius?,a) transferable heat b) heat requirement c) specific heat capacity d) thermal heat capacity,c
"In animals, how many sets of chromosomes do gametes have?",a) 23 b) one c) 2 d) zero,b
What scale measures acidity?,a) ph scale b) salinity scale c) richter scale d) frequency scale,a
What is sulfur trioxide dissolved in to form sulfuric acid?,a) lead b) water c) mercury d) silver,b
Mendelian inheritance has its physical basis in the behavior of what?,a) ribosomes b) prokaryotes c) chromosomes d) animals,c
The parasympathetic system can also be referred to as the what?,a) digestive system b) badolato system c) craniosacral system d) lentivirus system,c
Negative feedback controls insulin secretion by what organ?,a) liver b) uterus c) thyroid d) pancreas,d
"In the past, what colliding with planet earth has caused many organisms to die off?",a) the Sun b) asteroids c) acid rain d) meteorites,b
"The number, size, shape, and banding pattern of chromosomes make them easily identifiable in a what?",a) karyogram b) spirogyra c) xerophyte d) nanocyte,a
What are the egg shaped organs on either side of the uterus?,a) kidneys b) ovaries c) lungs d) testes,b
A voltaic cell uses what type of reaction to generate an electric current,a) spontaneous catalyst b) chemical reaction c) instantaneous redox d) spontaneous redox,d
Binary compounds of carbon with less electronegative elements are called what?,a) carbides b) carborane c) alkaloids d) oxides,a
What makes viral stis more dangerous than other types?,a) they are more severe b) they are larger c) they are incurable d) they are more contagious,c
What flows like taffy or hot wax?,a) gas b) water c) sand dunes d) molten rock,d
What unit of measurement determines how far something travels in a given amount of time?,a) distance b) speed c) volume d) density,b
What happens do the sound during a resonance?,"a) it becomes quieter b) amplified, it becomes louder c) it dissipates d) it echoes",b
"With a diet of live animals such as birds, small mammals and fish, all crocodilians are considered what?",a) omnivores b) symbiotes c) carnivores d) predators,c
Which types of compounds are more likely to burn easily?,a) hydroxyl b) chlorophyll c) salty d) covalent,d
Which of newton's law shows that there is a direct relationship between force and acceleration?,a) second b) none of the above c) third d) first,a
"Which proteins recognize and combine with harmful materials, including both toxic chemicals and invasive microorganisms?",a) antibodies b) enzymes c) essential amino acids d) collagen,a
What type of behavioral rhythms are linked to the yearly cycle of seasons?,a) biannual b) monthly c) circannual d) annual,c
What type of scientist uses earth-orbiting telescopes?,a) astrologer b) astronomer c) biologist d) anthropologist,b
Sponges possess an internal skeleton called what?,a) endoskeleton b) exoskelton c) hydrostatic skeleton d) fluid skeleton,a
"A fundamental particle of matter, protons and neutrons are made of these?",a) quarks b) atoms c) neutrinos d) particles,a
What is the name of the smaller molecules that make up proteins?,a) DNA acids b) amino acids c) fundamental acids d) rna acids,b
What is the term for a state of matter that yields to sideways or shearing forces?,a) gravity b) solid c) plasma d) fluid,d
Many structures in fish are adaptations for what type of lifestyle?,a) aquatic b) asexual c) carnivorous d) symbiotic,a
"What takes place at some coastlines or along the equator and brings cool, nutrient-rich water to the surface?",a) high tide b) red tide c) upwelling d) flooding,c
"The major classes of living members of this phylum include gastropods, bivalves, and cephalopods?",a) insects b) invertebrates c) crustaceans d) mollusks,d
What is the thin coat of phospholipids that surrounds the cell and controls what enters and leaves?,a) blood b) cell membrane c) myelin d) plasma,b
"Because conditions are not ideal, most populations grow ____________.",a) mathematically b) logistically c) historically d) SOCIALLY,b
"Besides the inner membrane, where are many respiratory enzymes found?",a) golgi apparatus b) cytoplasm c) alveoli d) the matrix,d
The most common elements have the most tightly bound __________.,a) quarks b) membrane c) atoms d) nuclei,d
What are particles that feel the strong nuclear force called?,a) hadrons b) mesons c) baryons d) bosons,a
"Aquatic producers need nutrients and what dissolved gas, which is more abundant near the surface of water?",a) nitrogen b) helium c) methane d) oxygen,d
All elements are most stable when their outermost shell is filled with electrons according to which rule?,a) coupling rule b) octet rule c) quartet rule d) string rule,b
What do you need to do to water to make it steam?,a) cool it b) freeze it c) stir it d) heat it,d
"When scientists work in natural settings rather than a lab, it is called what?",a) outside work b) extracurricular activity c) exploratory d) fieldwork,d
What is released into the atmosphere when fossil fuels are burned?,a) hydrogen dioxide b) carbon dioxide c) ferris oxide d) hydrogen monoxide,b
"The leaf chameleon (brookesia micra) was discovered in northern madagascar in 2012. at just over one inch long, it is what?",a) first known chameleon b) smallest known chameleon c) hottest known chameleon d) largest chameleon,b
Water and many metals are materials that have low resistance to electric currents and are therefore known as what?,a) good insulators b) radioactive c) electromagnets d) electric conductors,d
What is the name of the science that is concerned with naming and grouping organisms?,a) biology b) taxonomy c) geology d) methodology,b
What substance can be identified by their atomic number and mass number?,a) structures b) compounds c) solutions d) elements,d
What do you call the first cell of a new organism?,a) embryo b) egg c) zygote d) starter cell,c
What planet in our solar system has a moon with volcanic activity?,a) Venus b) jupiter c) Saturn d) Mars,b
"Kangaroos, koalas, and opossums are examples of what type of mammals?",a) carnivorous b) cephalopods c) marsupials d) monotremes,c
"Fe for iron and pb for lead are examples of elements known since ancient times, which have symbols based on their name in what language?",a) spanish b) latin c) arabic d) italian,b
"Referring to low what, hypovolemia may be caused by bleeding, dehydration, vomiting, severe burns, or some medications used to treat hypertension?",a) brain volume b) heart volume c) Secretion Volume d) blood volume,d
What particles allow fungi to reproduce through unfavorable conditions?,a) bosons b) quarks c) spores d) atoms,c
What is the term for an underground layer of rock that is saturated with groundwater?,a) delta b) river c) aquifer d) bason,c
Where do most ecosystems get energy from?,a) oceans b) precipitation c) forests d) sunlight,d
Maintaining a high metabolic rate takes a lot of what?,a) calories b) food c) fuel d) energy,d
"Electrons can move from one atom to another; when they do, specimens called what, with overall electric charges, are formed?",a) molecules b) atoms c) ions d) cations,c
Energy is absorbed as reactants are converted to products in what kind of chemical reaction?,a) endothermic b) synthesis c) hydrostatic d) anaphoric,a
What is the permanent prevention of gamete production or release called?,a) restoration b) fertilization c) sterilization d) insemination,c
"Because pathogenic bacteria typically cause disease by releasing exotoxins or endotoxins, they have potential use as what type of weapon?",a) radioactive b) bioterrorism c) nuclear missile d) pandemic,b
What cycle vital to plants includes a process called denitrification?,a) carbon cycle b) nitrogen cycle c) photosynthesis d) sedimentation cycle,b
Cerebral palsy is a disease caused by injury to what organ as it is developing?,a) heart b) liver c) brain d) skin,c
What substance is removed from waste as it passes through the large intestine?,a) air b) blood c) water d) nutrients,c
The distance between two consecutive z discs or z lines is called what?,a) radius b) contractile c) ligule d) sarcomere,d
What is the largest taxonomic rank?,a) domain b) core c) top d) sublet,a
Which system is divided into the somatic and autonomic nervous systems?,a) local nervous system b) central nervous system c) peripheral nervous system d) auxiliary nervous system,c
"The composition of the magma determines if the rock is mafic, felsic, or what?",a) intermediate b) magnetic c) porous d) variable,a
The shape of the path of an object undergoing projectile motion is called?,a) a parabola b) linear c) spherical d) a triangle,a
What type of animals breathe with gills as larvae and with lungs as adults?,a) insects b) reptiles c) mammals d) amphibians,d
"The most abundant formed elements in blood, erythrocytes are red, biconcave disks packed with an oxygen-carrying compound called this?",a) pus b) hydrogen c) hemoglobin d) plasma,c
What is the scale on which acidity is measured?,a) ph b) hp c) μm d) μg,a
Almost all fungi reproduce asexually by producing what?,a) ions b) spores c) atoms d) roots,b
Thomson’s plum pudding model shows the structure of what?,a) DNA b) cell c) atom d) nucleus,c
"What type of carbons may be gases, liquids, or solids at room temperature?",a) amorphous b) hydrocarbons c) graphites d) diamonds,b
What diagnostic technology uses high-frequency vibrations transmitted into any tissue in contact with the transducer?,a) ultrasound b) laser c) radiation d) sonar,a
At what time of life does menopause occur?,a) young adulthood b) old age c) in middle adulthood d) adolescence,c
What type of current carries warm air from surrounding rocks to an animal's body?,a) ventilation b) radiation c) convection d) electric,c
What quality of sound makes a tuba and a piccolo very different to a listener?,a) tune b) wavelength c) pitch d) curve,c
Where is the food supply and embryo stored in a seed?,a) hull b) epicotyl c) plumule d) tegmen,a
"Most arthropods are insects. the phylum also includes spiders, centipedes, and what?",a) crustaceans b) crystals c) coral d) amphibians,a
A cartilaginous joint where the bones are joined by fibrocartilage is called a what?,a) vesicles b) mitosis c) Testes d) symphysis,d
The horizontal stems on strawberry plants are called what?,a) stolons b) buds c) glands d) nodules,a
"What are the newest, outer layers of secondary xylem called?",a) bark b) sapwood c) fibrous d) vascular,b
Most amphibians breathe with these as larvae?,a) pores b) lungs c) gills d) nostrils,c
"Defined as a substance in foods and beverages that is essential to human survival, what term encompasses water, energy-yielding and body-building substances, and vitamins and minerals?",a) nutrients b) sustenance c) calories d) molecules,a
Genetic disorders are diseases caused by what?,a) environment b) lesions c) traits d) mutations,d
Transgenic animals are animals that have incorporated a gene from another species into their what?,a) food b) enemies c) genome d) habitats,c
What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,a) nucleus b) epidermis c) vacuole d) ribosome,a
Does air temperature increase or decrease as it rises higher in the atmosphere?,a) increase b) decrease c) neither d) both,b
During what do homologous chromosomes separate and go to different daughter cells?,a) birth b) electrolysis c) meiosis d) mitosis,c
The light reactions take place in which membranes?,a) the stroma b) the cell membranes c) the phospholipid d) the thylakoid,d
Fossils themselves and the order in which they appear in are generally collectively called what?,a) fossil magnitude b) coal record c) fuel cycle d) fossil record,d
Hormones send what through your body?,a) cells b) nutrients c) signals d) proteins,c
What does the armor including spines in some species offer?,a) protection from predators b) protection from cold c) nutrition d) energy,a
Individual nucleotides can be linked together through their phosphate groups to form?,a) nucleic acid polymers b) dna c) atoms d) nitrous acid polymers,a
The name silicon is derived from the latin word for flint?,a) simple b) silex c) pelea d) silk,b
What two types of juices help digestion within the small intestine?,"a) intestinal and pancreatic b) amniotic fluid, bile c) chyme and phloem d) bile and lymph",a
Cells in a biofilm secrete what to recruit nearby cells?,a) signaling proteins b) signaling molecules c) harnessing molecules d) signaling neurons,b
A standing wave is created when what type of wave interferes with the original wave?,a) refracted wave b) reflected wave c) translated wave d) realized wave,b
The kidneys are a pair of bean-shaped structures that are located just below and posterior to the liver in this?,a) peritoneal cavity b) stomach cavity c) mantle cavity d) cerebral cavity,a
What term means anything that is detected either through human senses or with instruments and measuring devices that extend human senses?,a) evacuation b) evaluation c) observation d) variation,c
The white fluffy part of popcorn is also what?,a) phosphor b) jiffy c) membrane d) endosperm,d
What change can you expect in vectors that are perpendicular to each other?,a) no effect b) Chemical reaction c) Molecular Reaction d) Large Effect,a
Where is roughage fermented and digested in pseudo-ruminants?,a) in their cecum b) in their pancreas c) in their appendix d) in their ileum,a
How quickly a population changes in size over time is known as what?,a) population growth rate b) population impact rate c) population direction rate d) population multiplication rate,a
Electromagnetic waves transfer energy across space as well as through what?,a) matter b) filtering c) osmosis d) plasma,a
What is the term for abnormally low blood levels of carbon dioxide?,a) hepatitis b) hypocapnia c) spirogyra d) trichina,b
The vivid colors of flowers are an adaptation designed to encourage what by animals such as insects and birds?,a) flowering b) consumption c) pollination d) eating,c
Arthropods change into the adult form in a process called what?,a) budding b) spontaneous mutation c) metamorphosis d) parthenogenesis,c
What is the largest part of the brain?,a) cerebrum b) cerebellum c) stem d) limbic system,a
What type of weathering breaks rock into smaller pieces?,a) chemical erosion b) fluid weathering c) chemical weathering d) mechanical weathering,d
The coordination sphere consists of the central metal ion or atom plus its attached what?,a) ligands b) subunits c) strands d) molecules,a
"What functions like a flexible coat of armor, preventing the protist from being torn or pierced without compromising its range of motion?",a) endothelium b) fimbriae c) pellicle d) biofilm,c
The marine west coast climate gets lots of rain because of what being nearby?,a) the mountains b) highways c) the Sun d) the ocean,d
What determines whether a volcanic eruption will be explosive or not?,a) curve of magma b) lava temperature c) thickness of magma d) magma velocity,c
Platinum and gold are useful materials for constructing circuits because of their ability to resist what?,a) oxidation b) decomposition c) Electricity d) nitrogen,a
How many set of chromosomes do moss have?,a) double set b) single set c) none d) triple set,b
When you change a magnetic field through electromagnetic induction what do you create?,a) cooling current b) microwave current c) Light Current d) electric current,d
Morphological and molecular data indicate that wings evolved how many times in insects?,a) once b) many times c) never d) twice,a
Nonmetal structures contain what type of bonds?,a) polymeric b) covalent c) gravitational d) prevalent,b
Gas lines should be made of what so they do not rupture?,a) adjustment material b) flexible material c) Hard material d) typically material,b
What is the lipid-rich sheath that surrounds the axon and facilitates the transmission of electrical signals along the axon?,a) axon sheath b) receptors sheath c) myelin sheath d) neural sheath,c
Where is urine formed in the body?,a) the liver b) the kidneys c) the pancreas d) the lungs,b
What is the term for rain consisting of water with a ph below 5?,a) Hot Rain b) carbon rain c) acid rain d) produce rain,c
What type of ecosystem do polar bears live in?,a) arctic b) natural c) oceanic d) tropical,a
Pseudopods are false what?,a) teeth b) eyes c) fingers d) feet,d
Ionic bonds are what kind of attraction between ions?,a) magnetic b) nuclear c) kinetic d) electrostatic,d
What type of change occurs when matter changes chemically into an entirely different substance with different chemical properties?,a) physical b) genetic c) material d) chemical,d
"Australia is home to many endemic species. the (a) wallaby (wallabia bicolor), a medium-sized member of the kangaroo family, is a pouched mammal, or this?",a) primate b) placental c) rodent d) marsupial,d
"What do you call structures like a whale's pelvic bones, which were once attached to legs, or wings that cannot be used for flight?",a) primordial b) vestigial c) primitive d) distinctive,b
What type of hybridization does ammonia undergo?,a) sp 3 hybridization b) ionic hybridization c) nh3 hybridization d) h2O hybridization,a
What does increased temperature do to a substance's kinetic energy?,a) generates b) decreases c) increases d) nothing,c
What natural process is associated with the death of cells?,a) cooling b) aging c) dissolving d) reducing,b
What color and shape are cumulus clouds?,a) white and wispy b) dark and tall c) white and puffy d) dark and wispy,c
"During the early paleozoic, the amount of carbon dioxide in the atmosphere compared to today was?",a) much lower b) none c) the same d) much greater,d
Physical science is defined as the study of what?,a) biology & light b) matter & energy c) light & matter d) matter & elements,b
What do you call the two ends of a magnet where the magnetic effect is strongest?,a) magnetos b) poles c) opposites d) plates,b
The scale that is used to measure the loudness of sound measures their loudness in what?,a) waves b) centimeters c) decibels d) weight,c
What are located on either side of the pharynx in the throat?,a) testicles b) lymph nodes c) wrinkles d) tonsils,d
What kind of reproduction requires the fusion of male and female gametes?,a) subject reproduction b) asexual reproduction c) sexual reproduction d) autonomous reproduction,c
"Diseases of the lungs, bronchial tubes, trachea, nose, and throat affect what organ system?",a) respiratory b) heart c) digestive d) skin,a
What factor other than genes is important in determining adult height?,a) intelligence b) nutrition c) relaxation d) cultivation,b
What does burning wood release into the atmosphere?,a) helium b) hydrogen chloride c) oxygen d) carbon dioxide,d
The largest region of each of the palatine bone is the what?,a) magnetic plate b) horizontal plate c) abnormal plate d) big plate,b
What does viscosity do to liquids?,a) resistant to flowing b) condusive to flowing c) responsive to flowing d) salinity to flowing,a
"What system is involved in diseases that include type 1 diabetes, rheumatoid arthritis and multiple sclerosis?",a) nervous system b) circulatory system c) digestion system d) immune system,d
What are are organisms that feed on small pieces of organic matter?,a) bottom feeders b) waste feeders c) difference feeders d) deposit feeders,d
What process would be impossible without some variation in the inherited traits of organisms within a species?,a) characteristic selection b) natural selection c) darwin's selection d) environmental selection,b
Monoecious flowers are also known as “perfect” flowers because they contain both types of what organ?,a) vascular organ b) sex organ c) respiratory organ d) phloem,b
Human beings depend on learned behaviors more than any other?,a) Beings b) mammals c) Organisms d) species,d
"Oxygen, carbon, hydrogen and what other element make up approximately 96% of living matter?",a) helium b) nitrogen c) calcium d) silicon,b
What type electrical circuits have multiple paths the current may take?,a) serial b) single loop c) perpendicular d) parallel,d
Hydrophobic interactions arise because water molecules engage in what type of bonding with other water molecules?,a) oxygen bonding b) aquatic bonding c) hydrogen bonding d) helium bonding,c
What is the second most common skin cancer?,a) precancerous cell carcinoma b) melanoma c) squamous cell carcinoma d) basal cell carcinoma,c
"Species divergence often, but not always, occurs because of what type of barrier between species?",a) language b) emotional c) physical d) visible,c
"The chytrids the only class in the phylum chytridiomycota is the chytridiomycetes. the chytrids are the simplest and most primitive eumycota, or true this?",a) organisms b) fungi c) proteins d) acids,b
Almost all vascular plants have mycorrhizae and rely on their fungal partners for what?,a) air b) sunlight c) respiration d) nutrients,d
What occurs when there is a sudden and large falling of rocks down a slope?,a) earthquake b) tsunami c) landslide d) avalanche,c
What are gymnosperms lacking compared to most angiosperms?,a) vascular elements b) vessel elements c) muscle elements d) use elements,b
Calculations are described showing conversions between molar mass and what for gases?,a) volume b) weight c) density d) length,c
"What sudden ground movement is caused by the sudden release of the energy stored in rocks, which is transmitted in seismic waves?",a) eruption b) sandstorm c) earthquake d) quicksand,c
"What is the name for the cooler, darker areas on the sun’s surface?",a) aurora borealis b) sunspots c) anomalies d) corona,b
Plants need sunlight for what process?,a) photosynthesis b) metamorphosis c) glycolysis d) cyclogenesis,a
The vast majority of what phenomena occurs along one of three types of plate boundaries?,a) hurricane b) earthquake c) tornados d) volcanoes,b
What weather events move with the prevailing winds and originate in the trade winds in the northern hemisphere?,a) earthquakes b) hurricanes c) tsunamis d) droughts,b
What is the name for the male reproductive organs or gonads?,a) nucleus b) ovaries c) anus d) testes,d
What glands in the breast secrete milk?,a) fetal glands b) mammary glands c) adrenal glands d) primordial glands,b
"Sutures, gomphoses, and syndesmoses are types of what, which are found where adjacent bones are strongly united by connective tissue?",a) ligaments b) metallic joints c) fibrous joints d) cartilage,c
"Heat, electricity, or light might provide what necessary input to the process of decomposition?",a) material b) food c) energy d) source,c
What is made up of a watery substance called cytosol and contains other cell structures such as ribosomes?,a) cytoplasm b) rna c) plasma d) cytoskeleton,a
What type of energy is required in all chemical reactions?,a) activation b) solar c) conduction d) function,a
What type of image is formed when light rays diverge in front of a mirror?,a) large b) reversed c) fake d) virtual,d
What is the condition of a plant in which the fluid in a cell exerts a pressure against the cell wall?,a) tumor b) constriction c) turgor d) hydration,c
"What phenomenon, crucial for evolution, creates new genetic variation in a gene pool and is how all new alleles first arise?",a) adaptation b) natural selection c) mutation d) radiation,c
What is the name of the stage of life when a child becomes sexually mature?,a) adulthood b) puberty c) reproductive stage d) pre-adolescence,b
A man made lake is known as what?,a) Lagoon b) Lake c) Pond d) resevoirs,d
Alchemy helped improve the study of metallurgy and the extraction of metals from what?,a) wood b) water c) air d) ores,d
What are the two types of vascular tissues?,a) epidermis and phloem b) ectoderm and phloem c) ganglia and phloem d) xylem and phloem,d
"The spinal cord develops, cells making up the wall of the neural tube proliferate and differentiate into what?",a) muscles and glia b) jelly and glia c) membrane and glia d) neurons and glia,d
Eventually the parent cell will pinch apart to form two identical types of what cells?,a) daughter cells b) father cells c) brother cells d) son cells,a
The body cells cannot use insulin properly in which type of diabetes?,a) type 4 diabetes b) type 3 diabates c) type 1 diabetes d) type 2 diabetes,d
Birds belong to a group of diapsids called the what?,a) mammals b) aviators c) conifers d) archosaurs,d
How many limbs to birds have?,a) ten b) six c) five d) four,d
Planes fly in what layer of the atmosphere because there is less friction and turbulence?,a) stratosphere b) ozone layer c) crust d) mesosphere,a
What is a group of similar ecosystems with the same general abiotic factors and primary producers?,a) ecoregion b) family c) taxon d) biome,d
Interferons are produced in virally infected cells and cause them to secrete signals for surrounding cells to make what?,a) Raising Proteins b) antiviral proteins c) overwhelm proteins d) resist proteins,b
What slow process is required for formation of soil?,a) leaching b) digestion c) fossilization d) weathering,d
What is defined as superheated gas with a positive electrical charge?,a) ion b) greenhouse gas c) supernova d) plasma,d
"Materials, such as iron, that exhibit strong magnetic effects are labeled what?",a) superconducting b) paramagnetic c) ferromagnetic d) ultramagnetic,c
"Like birds, most other reptiles excrete their nitrogenous wastes as what acid?",a) lactic b) hydrochloric c) uric d) sulphuric,c
The two main fundamental particles that make up neutrons are quarks and what else?,a) gluons b) leptons c) atoms d) prions,a
Birds have evolved a respiratory system that enables them to fly. flying is a high-energy process and requires a lot of this?,a) weight b) nitrogen c) adaptation d) oxygen,d
Lysosomes have what type of enzymes that break down old molecules into parts that can be recycled?,a) corrosive b) bacterial c) digestive d) probiotics,c
The breasts contain what to give milk to feed a baby?,a) mammary glands b) sebaceous glands c) fetal glands d) primordial glands,a
What form when water vapor condenses in the air around specs of matter?,a) condensation b) storms c) humidity d) clouds,d
"All other forms of life, including plants and animals, are composed of what kind of cells?",a) eukaryotic b) bacterial c) cytoplasmic d) synthetic,a
A mycorrhiza refers to what kind of relationship between a fungus and the roots of a plant?,a) predator-prey b) familial c) symbiotic d) semantic,c
What is earth's main source of energy?,a) the atmosphere b) the moon c) the core d) the sun,d
Kirchhoff’s second rule (the loop rule) is an application of conservation of what?,a) Rock b) heating c) energy d) mineral,c
Evolution over a short period of time at the level of the population is called what?,a) redistributions b) grammaticalization c) microevolution d) macroevolution,c
When water is heated by magma and makes it's way to the surface what is created?,a) trough b) eruption c) geyser d) volcanic,c
The mechanical and digestive processes have one goal: to convert food into molecules small enough to be absorbed by the epithelial cells of what?,a) bile ducts b) stomach cilia c) intestinal villi d) alveoli,c
"Influenza virus is packaged in a viral envelope, which fuses with the what?",a) plasma membrane b) cell wall c) nucleus d) bacteria,a
A desert is a type of what community in an ecosystem?,a) colony b) culture c) population d) biome,d
What are the two types of properties that matter has?,a) physical and chemical b) composition and weight c) size and shape d) nature and purpose,a
What is the hormone produced in high-stress situations?,a) somatostatin b) adrenalin c) thyroxine d) testosterone,b
What type of reaction causes two substances to combine to make a single substance?,a) spontaneous mutation b) component reaction c) metabolism d) composition reaction,d
"Hay fever is actually an allergy to what substance, vital to plant reproduction?",a) fungi b) nitrogen c) grass d) pollen,d
Endotherms are warmed mostly by heat generated by what?,a) metabolism b) movement c) the sun d) electricity,a
"If a ball is released from rest when air resistance is negligible, velocity is seen to increase linearly, while what related property is a constant?",a) time b) speed c) acceleration d) density,c
What term is used to describe the ability of matter to burn?,a) flammability b) reactivity c) volatility d) permeability,a
What is the evolutionary history of group of related organisms,a) phylogeny b) substructure c) iteration d) history,a
What forms a ketone when oxidized?,a) secondary alcohol b) enzyme c) carbolic acid d) aldehyde,a
